Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,snp500,vix_close,qqq_close
2022-08-30 04:00:00+00:00,302.28311203120643,302.3582084800519,297.1025740560985,298.482177734375,2926300,0.0,0.0,0.0,3986.159912109375,,294.08258056640625
2022-08-31 04:00:00+00:00,298.87630205190965,300.4811662650869,296.1921914297494,296.2391052246094,2981600,0.0,0.0,0.0,3955.0,,292.3728942871094
2022-09-01 04:00:00+00:00,294.9629715298439,297.7409404488527,293.4707508680511,297.5626220703125,3228000,0.0,0.0,0.0,3966.85009765625,,292.4998779296875
2022-09-02 04:00:00+00:00,300.10578969604376,301.02553507887336,293.10454910540085,294.46539306640625,3826200,0.0,0.0,0.0,3924.260009765625,,288.367431640625
2022-09-06 04:00:00+00:00,295.20674564542793,295.8167968274733,291.8093620203469,293.00128173828125,3320400,0.0,0.0,0.0,3908.18994140625,,286.2962341308594
2022-09-07 04:00:00+00:00,292.4757866292356,297.44985294296805,292.29746834243133,296.8773498535156,2520200,0.0,0.0,0.0,3979.8701171875,,292.07989501953125
2022-09-08 04:00:00+00:00,295.3383601762474,298.82020829379184,294.39046025687446,298.6700439453125,3301100,0.0,0.0,0.0,4006.179931640625,,293.5940856933594
2022-09-09 04:00:00+00:00,300.3967940101282,303.08093433114124,299.852473483427,302.4615173339844,2479300,0.0,0.0,0.0,4067.360107421875,,300.01263427734375
2022-09-12 04:00:00+00:00,303.4093103660254,305.65232257723954,303.3342139219495,304.610595703125,2486900,0.0,0.0,0.0,4110.41015625,,303.5785217285156
2022-09-13 04:00:00+00:00,299.19554544756386,299.93697282070303,291.715655379329,292.5603332519531,4301200,0.0,0.0,0.0,3932.68994140625,,286.9313049316406
2022-09-14 04:00:00+00:00,293.15156582993393,294.2027160540309,290.49560785246246,292.8700256347656,2868800,0.0,0.0,0.0,3946.010009765625,,289.20758056640625
2022-09-15 04:00:00+00:00,292.4665176629426,294.2402784322193,290.4956500874756,291.27459716796875,3294600,0.0,0.0,0.0,3901.35009765625,,284.3912658691406
2022-09-16 04:00:00+00:00,287.9084955705127,290.37391220555753,287.33449906837785,289.87518310546875,4071000,0.823,0.0,0.0,3873.330078125,,282.6521911621094
2022-09-19 04:00:00+00:00,287.353336824803,291.8889664226053,287.2780694154006,291.851318359375,2730000,0.0,0.0,0.0,3899.889892578125,,284.853271484375
2022-09-20 04:00:00+00:00,289.5364889230372,289.8187776279245,286.6099620027569,288.906005859375,2822800,0.0,0.0,0.0,3855.929931640625,,282.5827331542969
